2019-04-23 01:22:40.639 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 02:17:45.000 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 02:26:25.398 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 02:43:13.287 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 02:46:20.495 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 02:48:43.056 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 02:51:45.306 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 02:56:40.816 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:03:21.608 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
2019-04-23 03:05:38.185 user:1; udid:cab3bcf5a0970fb3; os:Windows 10(10.0, amd64) OpenJDK 64-Bit Server VM 1.8.0_191-1-ojdkbuild-b12; program_version:1.35.758; install_date:2019-03-25 15:12:58; 
